"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","MYGALOMORPHAE","MYGALOMORPHAE Pocock, 1892","","","","","","Valid Name","","Infraorder","","Pocock","1892","Y","59c8ff95-50b1-4ca2-be1c-6dbf8a089f92","20220621T06:06:32.710+0000","6e67c774-8717-4f95-9e84-2d90da7b0d0c","20220805T03:02:45.335+0000","42633b65-6892-4bd6-8b10-89f0bfc825d3","6e67c774-8717-4f95-9e84-2d90da7b0d0c","","","","","","","","","","","","","","",""
"","","ATRACIDAE","ATRACIDAE Hogg, 1901","Atracidae","","","","","Valid Name","","Family","","Hogg","1901","Y","f4e2844c-7ffb-4331-b00d-f9188cdd74d2","20250311T23:44:45.175+0000","7c4fb966-0354-4cf1-9fb0-dfdb96241fe5","20250313T00:10:03.965+0000","6e67c774-8717-4f95-9e84-2d90da7b0d0c","7c4fb966-0354-4cf1-9fb0-dfdb96241fe5","","","","","","","","","","","","","","",""
"","","Atracidae","Atracidae Hogg, 1901","Atracidae","","","","","Synonym","synonym","Family","","Hogg","1901","Y","e45a2152-8f75-41ce-af63-4c5d0d5178b9","20250311T23:44:45.175+0000","7c4fb966-0354-4cf1-9fb0-dfdb96241fe5","20250313T00:10:03.965+0000","","158c86f9-7caf-48a1-8013-d0621822555f","Hogg, H.R.","1901","On Australian and New Zealand spiders of the suborder Mygalomorphae","218-279","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='../../../../publication/bd598c83-8ad8-4a4b-ae9f-d6f311428f13' class='mouseoverHref'>Hogg, H.R. 1901. On Australian and New Zealand spiders of the suborder Mygalomorphae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1901</strong>(2): 218-279<!--MARK--> [2 June 1901]","2 June 1901","Article in Journal","bd598c83-8ad8-4a4b-ae9f-d6f311428f13","20081009T05:11:37.000+0000","511f299d-99ec-413c-bc4c-04a380829c96"
"","","Atrax","Atrax O.P.-Cambridge, 1877","ATRACIDAE","Atrax","","","","Valid Name","","Genus","","O.P.-Cambridge","1877","Y","77cb5eee-0fc2-4c6d-b02b-4eeb7b1045ac","20250311T23:44:45.175+0000","0b5cb208-7b59-440e-bf66-379e079a7cb2","20250313T00:10:03.965+0000","7c4fb966-0354-4cf1-9fb0-dfdb96241fe5","0b5cb208-7b59-440e-bf66-379e079a7cb2","","","","","","","","","","","","","","",""
"","","Australian Funnel-web Spiders","","","","","","","Common Name","General","Genus","","","","","21018a41-0916-431d-a4c5-d72ece14792a","20250311T23:44:45.175+0000","0b5cb208-7b59-440e-bf66-379e079a7cb2","20250313T00:10:03.965+0000","","","","","","","","","","","","","","","","",""
"","","Atrax","Atrax O.P.-Cambridge, 1877","","Atrax","","","","Synonym","synonym","Genus","","O.P.-Cambridge","1877","Y","919a2737-e75c-4783-baef-39ab696c9702","20250311T23:44:45.175+0000","0b5cb208-7b59-440e-bf66-379e079a7cb2","20250313T00:10:03.965+0000","","96b940d8-19b9-4e8c-aedd-ef65f2cfe4df","Cambridge, O.P.-","1877","On some new genera and species of Araneidea","26-39 pls 6-7","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='../../../../publication/f291e8b4-d6e2-4c3a-a71d-8586f8e0b4fe' class='mouseoverHref'>Cambridge, O.P.- 1877. On some new genera and species of Araneidea.</a> <!--MARK--><!--MARK--><a href='../../../../publication/efa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 4 <strong>19</strong>: 26-39 pls 6-7<!--MARK--> [Jan. 1877]","Jan. 1877","Article in Journal","f291e8b4-d6e2-4c3a-a71d-8586f8e0b4fe","20170727T03:06:55.300+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","Euctimena","Euctimena Rainbow, 1914","","Euctimena","","","","Synonym","synonym","Genus","","Rainbow","1914","Y","40e5cf69-1d28-4061-95c4-d915cb5e0047","20250311T23:44:45.175+0000","0b5cb208-7b59-440e-bf66-379e079a7cb2","20250313T00:10:03.965+0000","","9009e28d-7c04-4f8b-a389-8135554fca2d","Rainbow, W.J.","1914","Studies in Australian Araneidae. No. 6. The Terretelariae","187-270","","Records of the Australian Museum","","","","<!--MARK--><a href='../../../../publication/165fa2fc-4198-4127-b8b4-b5b8752af2d0' class='mouseoverHref'>Rainbow, W.J. 1914. Studies in Australian Araneidae. No. 6. The Terretelariae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/7c07530b-0b38-44f5-8f95-368da97d6ac2' class='mouseoverHref'><em>Records of the Australian Museum</em></a> <strong>10</strong>: 187-270<!--MARK--> [15 Aug. 1914]","15 Aug. 1914","Article in Journal","165fa2fc-4198-4127-b8b4-b5b8752af2d0","20081009T05:11:37.000+0000","7c07530b-0b38-44f5-8f95-368da97d6ac2"
"","","Poikilomorpha","Poikilomorpha Rainbow, 1914","","Poikilomorpha","","","","Synonym","synonym","Genus","","Rainbow","1914","Y","0a38ed9f-aabc-4252-8e6f-6fbfbd99cbaa","20250311T23:44:45.175+0000","0b5cb208-7b59-440e-bf66-379e079a7cb2","20250313T00:10:03.965+0000","","0b219376-a057-477d-9f1a-a4e96b6d6471","Rainbow, W.J.","1914","Studies in Australian Araneidae. No. 6. The Terretelariae","187-270","","Records of the Australian Museum","","","","<!--MARK--><a href='../../../../publication/165fa2fc-4198-4127-b8b4-b5b8752af2d0' class='mouseoverHref'>Rainbow, W.J. 1914. Studies in Australian Araneidae. No. 6. The Terretelariae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/7c07530b-0b38-44f5-8f95-368da97d6ac2' class='mouseoverHref'><em>Records of the Australian Museum</em></a> <strong>10</strong>: 187-270<!--MARK--> [15 Aug. 1914]","15 Aug. 1914","Article in Journal","165fa2fc-4198-4127-b8b4-b5b8752af2d0","20081009T05:11:37.000+0000","7c07530b-0b38-44f5-8f95-368da97d6ac2"
"","","christenseni","Atrax christenseni Dupérré & Smith, 2025","ATRACIDAE","Atrax","","christenseni","","Valid Name","","Species","","Dupérré & Smith","2025","Y","523ba1f6-c531-4b87-8154-19868e543e45","20250312T00:22:27.896+0000","0e0c44c2-ea41-4332-bbff-2ad2ecb8f18d","20250313T00:10:03.965+0000","0b5cb208-7b59-440e-bf66-379e079a7cb2","0e0c44c2-ea41-4332-bbff-2ad2ecb8f18d","","","","","","","","","","","","","","",""
"","","christenseni","Atrax christenseni Dupérré & Smith, 2025","","Atrax","","christenseni","","Synonym","synonym","Species","","Dupérré & Smith","2025","Y","2c12bd02-0872-48d9-952b-615de433f746","20250312T00:21:40.366+0000","0e0c44c2-ea41-4332-bbff-2ad2ecb8f18d","20250313T00:10:03.965+0000","","5055bdd2-7fbb-4977-8cc2-4f98b6f6507e","Loria, S.F., Frank, S-C., Dupérré, N., Smith, H.M., Jones, B., Buzzatto, B.A. & Harms, D.","2025","The world?s most venomous spider is a species complex: systematics of the Sydney funnel-web spider (Atracidae: <i>Atrax robustus</i>)","1-27","","BMC Ecology and Evolution","","","","<!--MARK--><a href='../../../../publication/47868521-7f0b-4b12-9402-b162b7df8631' class='mouseoverHref'>Loria, S.F., Frank, S-C., Dupérré, N., Smith, H.M., Jones, B., Buzzatto, B.A. & Harms, D. 2025. The world?s most venomous spider is a species complex: systematics of the Sydney funnel-web spider (Atracidae: <i>Atrax robustus</i>).</a> <!--MARK--><!--MARK--><a href='../../../../publication/7e6716e0-a422-4c94-9d65-4de090082e56' class='mouseoverHref'><em>BMC Ecology and Evolution</em></a> <strong>25</strong>(7): 1-27<!--MARK-->","","Article in Journal","47868521-7f0b-4b12-9402-b162b7df8631","20250312T00:09:35.608+0000","7e6716e0-a422-4c94-9d65-4de090082e56"
