id	locationID	countryCode	occurrenceStatus	establishmentMeans
151000	Australia	AU	Present	Alien
151001	Australia	AU	Present	Alien
151002	Australia	AU	Present	Alien
151003	Australia	AU	Present	Alien
151004	Australia	AU	Present	Alien
151005	Australia	AU	Present	Alien
151006	Australia	AU	Present	Alien
151007	Australia	AU	Present	Alien
151008	Australia	AU	Present	Alien
151009	Australia	AU	Present	Alien
151010	Australia	AU	Present	Alien
151011	Australia	AU	Present	Alien
151012	Australia	AU	Present	Alien
151013	Australia	AU	Present	Alien
151014	Australia	AU	Present	Alien
151015	Australia	AU	Present	Alien
151016	Australia	AU	Present	Alien
151017	Australia	AU	Present	Alien
151018	Australia	AU	Present	Alien
151019	Australia	AU	Present	Alien
151020	Australia	AU	Present	Alien
151021	Australia	AU	Present	Alien
151022	Australia	AU	Present	Alien
151023	Australia	AU	Present	Alien
151024	Australia	AU	Present	Alien
151025	Australia	AU	Present	Alien
151026	Australia	AU	Present	Alien
151027	Australia	AU	Present	Alien
151028	Australia	AU	Present	Alien
151029	Australia	AU	Present	Alien
151030	Australia	AU	Present	Cryptogenic|Uncertain
151031	Australia	AU	Present	Alien
151032	Australia	AU	Present	Alien
151033	Australia	AU	Present	Alien
151034	Australia	AU	Present	Alien
151035	Australia	AU	Present	Alien
151036	Australia	AU	Present	Alien
151037	Australia	AU	Present	Alien
151038	Australia	AU	Present	Alien
151039	Australia	AU	Present	Alien
151040	Australia	AU	Present	Alien
151041	Australia	AU	Present	Alien
151042	Australia	AU	Present	Alien
151043	Australia	AU	Present	Alien
151044	Australia	AU	Present	Alien
151045	Australia	AU	Present	Alien
151046	Australia	AU	Present	Alien
151047	Australia	AU	Present	Alien
151048	Australia	AU	Present	Alien
151049	Australia	AU	Present	Alien
151050	Australia	AU	Present	Alien
151051	Australia	AU	Present	Alien
151052	Australia	AU	Present	Alien
151053	Australia	AU	Present	Alien
151054	Australia	AU	Present	Alien
151055	Australia	AU	Present	Alien
151056	Australia	AU	Present	Alien
151057	Australia	AU	Present	Alien
151058	Australia	AU	Present	Alien
151059	Australia	AU	Present	Alien
151060	Australia	AU	Present	Alien
151061	Australia	AU	Present	Alien
151062	Australia	AU	Present	Alien
151063	Australia	AU	Present	Alien
151064	Australia	AU	Present	Alien
151065	Australia	AU	Present	Alien
151066	Australia	AU	Present	Alien
151067	Australia	AU	Present	Alien
151068	Australia	AU	Present	Alien
151069	Australia	AU	Present	Alien
151070	Australia	AU	Present	Alien
151071	Australia	AU	Present	Alien
151072	Australia	AU	Present	Alien
